time_us,x_um,v_m_s,aod_center_um,aod_depth_uK,slm_depth_uK,kinetic_uK,aod_potential_uK,slm_potential_uK,total_potential_uK,total_energy_uK
0.0,2.4,0.0,2.4,279.99999999999994,140.0,0.0,-279.99999999999994,-0.03099672624063237,-280.03099672624063,-280.03099672624063
0.049999999999999996,2.3999999830012593,-6.801644861861271e-07,2.399999815108513,279.99999999999994,140.0,3.6974858497410744e-09,-279.9999999999884,-0.03099672993578267,-280.0309967299242,-280.0309967262267
0.09999999999999999,2.399999931983551,-1.36118834538074e-06,2.3999992605130736,279.99999999999994,140.0,1.4808636072779268e-08,-279.99999999981554,-0.030996741025906722,-280.03099674084143,-280.0309967260328
0.15,2.399999846882425,-2.043930588026722e-06,2.399998336332214,279.99999999999994,140.0,3.3389575870662146e-08,-279.9999999990666,-0.0309967595250221,-280.0309967585916,-280.03099672520204
0.19999999999999998,2.399999727590492,-2.729249701713816e-06,2.399997042684469,279.99999999999994,140.0,5.953401319826636e-08,-279.99999999705096,-0.030996785456485328,-280.03099678250743,-280.03099672297344
0.25,2.3999995739574542,-3.418003541519145e-06,2.399995379688369,279.99999999999994,140.0,9.337349892018367e-08,-279.99999999280334,-0.030996818852985362,-280.03099681165634,-280.03099671828284
0.3,2.399999385790138,-4.111049220428841e-06,2.399993347462449,279.99999999999994,140.0,1.3507779709718458e-07,-279.99999998508406,-0.030996859756536883,-280.0309968448406,-280.03099670976286
0.35,2.399999162852532,-4.809242999851062e-06,2.39999094612524,279.99999999999994,140.0,1.8485536496938817e-07,-279.9999999723806,-0.030996908218471626,-280.03099688059905,-280.0309966957437
0.39999999999999997,2.3999989048658374,-5.5134401802403796e-06,2.399988175795276,279.99999999999994,140.0,2.429539421209078e-07,-279.9999999529087,-0.03099696429942833,-280.0309969172081,-280.03099667425414
0.44999999999999996,2.399998611508514,-6.224494991844909e-06,2.3999850365910897,279.99999999999994,140.0,3.0966124822836136e-07,-279.999999924614,-0.030997028069342042,-280.0309969526833,-280.03099664302204
0.5,2.3999982824163384,-6.9432604855891375e-06,2.3999815286312143,279.99999999999994,140.0,3.8530578871389045e-07,-279.99999988517345,-0.030997099607432445,-280.03099698478087,-280.0309965994751
0.55,2.3999979171824655,-7.670588424107599e-06,2.3999776520341816,279.99999999999994,140.0,4.702577675422348e-07,-279.9999998319974,-0.03099717900219036,-280.0309970109996,-280.03099654074185
0.6,2.399997515357496,-8.407329172943443e-06,2.3999734069185252,279.99999999999994,140.0,5.649301063205572e-07,-279.99999976223137,-0.030997266351363895,-280.0309970285827,-280.0309964636526
0.6499999999999999,2.399997076449549,-9.154331591925412e-06,2.3999687934027776,279.99999999999994,140.0,6.697795687793488e-07,-279.99999967275824,-0.030997361761942285,-280.03099703452017,-280.0309963647406
0.7,2.3999965999243376,-9.912442926734577e-06,2.399963811605472,279.99999999999994,140.0,7.853079896326097e-07,-279.9999995602006,-0.030997465350140117,-280.03099702555073,-280.03099624024276
0.75,2.399996085205256,-1.0682508700679217e-05,2.399958461645141,279.99999999999994,140.0,9.120636067373057e-07,-279.9999994209233,-0.030997577241379068,-280.03099699816465,-280.0309960861011
0.7999999999999999,2.399995531673467,-1.1465372606691364e-05,2.3999527436403176,279.99999999999994,140.0,1.0506424953931398e-06,-279.99999925103594,-0.03099769757026953,-280.03099694860623,-280.03099589796375
0.8499999999999999,2.3999949386679957,-1.2261876399554726e-05,2.3999466577095343,279.99999999999994,140.0,1.2016901035450872e-06,-279.99999904639594,-0.03099782648058988,-280.0309968728766,-280.0309956711864
0.8999999999999999,2.3999943054858277,-1.3072859788379677e-05,2.3999402039713242,279.99999999999994,140.0,1.3659028865748993e-06,-279.9999988026113,-0.030997964125266227,-280.03099676673656,-280.03099540083366
0.95,2.399993631382017,-1.3899160329340453e-05,2.39993338254422,279.99999999999994,140.0,1.5440300402915268e-06,-279.9999985150438,-0.030998110666349634,-280.03099662571015,-280.0309950816801
1.0,2.3999929155697948,-1.474161331868536e-05,2.3999261935467557,279.99999999999994,140.0,1.7368753306540578e-06,-279.99999817881223,-0.030998266274993008,-280.0309964450872,-280.03099470821184
1.0499999999999998,2.399992157220685,-1.5601051686037847e-05,2.3999186370974623,279.99999999999994,140.0,1.9452990186875767e-06,-279.99999778879624,-0.03099843113142623,-280.03099621992766,-280.03099427462865
1.1,2.399991355464626,-1.6478305888000334e-05,2.3999107133148736,279.99999999999994,140.0,2.1702198789775183e-06,-279.99999733963944,-0.03099860542493123,-280.0309959450644,-280.0309937748445
1.15,2.399990509390097,-1.737420380207052e-05,2.3999024223175227,279.99999999999994,140.0,2.412617310054525e-06,-279.99999682575344,-0.030998789353814653,-280.0309956151072,-280.03099320248987
1.2,2.399989618044246,-1.8289570620888564e-05,2.3998937642239415,279.99999999999994,140.0,2.673533534912133e-06,-279.9999962413217,-0.030998983125380665,-280.03099522444705,-280.03099255091354
1.25,2.3999886804330344,-1.922522874682704e-05,2.3998847391526636,279.99999999999994,140.0,2.954075889827388e-06,-279.9999955803037,-0.030999186955901085,-280.03099476725964,-280.03099181318373
1.2999999999999998,2.399987695521372,-2.018199768693716e-05,2.3998753472222223,279.99999999999994,140.0,3.255419199585173e-06,-279.99999483643904,-0.030999401070586647,-280.0309942375096,-280.03099098209043
1.35,2.399986662233266,-2.116069394826429e-05,2.3998655885511493,279.99999999999994,140.0,3.5788082371382587e-06,-279.9999940032519,-0.030999625703555085,-280.03099362895546,-280.03099005014724
1.4,2.399985579451977,-2.2162130933547305e-05,2.399855463257978,279.99999999999994,140.0,3.925560265668199e-06,-279.99999307405557,-0.03099986109779934,-280.0309929351534,-280.0309890095931
1.45,2.3999844460201727,-2.3187118837312644e-05,2.399844971461241,279.99999999999994,140.0,4.2970676609447085e-06,-279.9999920419568,-0.031000107505153994,-280.0309921494619,-280.0309878523943
1.5,2.3999832607400933,-2.423646454237926e-05,2.399834113279472,279.99999999999994,140.0,4.694800611817912e-06,-279.999990899861,-0.031000365186261255,-280.03099126504725,-280.0309865702466
1.55,2.3999820223737185,-2.5310971516787486e-05,2.3998228888312028,279.99999999999994,140.0,5.12030989661321e-06,-279.999989640477,-0.03100063441053572,-280.03099027488753,-280.03098515457765
1.5999999999999999,2.399980729642942,-2.6411439711159853e-05,2.3998112982349666,279.99999999999994,140.0,5.575229733133955e-06,-279.99998825632196,-0.031000915456127588,-280.03098917177806,-280.03098359654837
1.65,2.399979381229748,-2.7538665456513434e-05,2.3997993416092966,279.99999999999994,140.0,6.06128069992036e-06,-279.9999867397268,-0.031001208609885623,-280.0309879483367,-280.030981887056
1.6999999999999997,2.3999779757763964,-2.869344136253554e-05,2.3997870190727255,279.99999999999994,140.0,6.5802727263507215e-06,-279.99998508284125,-0.0310015141673184,-280.03098659700856,-280.03098001673584
1.75,2.399976511885612,-2.987655621633307e-05,2.3997743307437855,279.99999999999994,140.0,7.134108149111771e-06,-279.9999832776395,-0.031001832432554798,-280.0309851100721,-280.03097797596394
1.7999999999999998,2.3999749881207753,-3.1088794881670655e-05,2.3997612767410104,279.99999999999994,140.0,7.724784832510177e-06,-279.99998131592565,-0.03100216371830333,-280.03098347964396,-280.0309757548591
1.8499999999999999,2.3999734030061237,-3.233093819870736e-05,2.3997478571829323,279.99999999999994,140.0,8.354399350039282e-06,-279.9999791893394,-0.031002508345811197,-280.0309816976852,-280.03097334328584
1.9,2.399971755026955,-3.3603762884249774e-05,2.3997340721880844,279.99999999999994,140.0,9.025150224565164e-06,-279.99997688936185,-0.031002866644820964,-280.0309797560067,-280.03097073085644
1.95,2.399970042629835,-3.4908041432531226e-05,2.3997199218749996,279.99999999999994,140.0,9.73934122443998e-06,-279.9999744073212,-0.03100323895352733,-280.0309776462748,-280.0309679069335
2.0,2.3999682642228115,-3.6244542016528496e-05,2.3997054063622114,279.99999999999994,140.0,1.0499384712800317e-05,-279.9999717343993,-0.031003625618532434,-280.03097536001786,-280.0309648606331
2.05,2.3999664181756333,-3.761402838983334e-05,2.399690525768251,279.99999999999994,140.0,1.1307805047262301e-05,-279.999968861637,-0.031004026994800496,-280.03097288863177,-280.0309615808267
2.0999999999999996,2.3999645028199725,-3.9017259789084257e-05,2.3996752802116523,279.99999999999994,140.0,1.2167242027171237e-05,-279.99996577994096,-0.031004443445611426,-280.0309702233866,-280.0309580561446
